state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib
WV,26254,150,60,7183000,0,570000,0
WV,26257,380,260,21399000,0,1774000,0
WV,26260,640,220,36266000,0,3455000,199000
WV,26261,770,460,29408000,0,1892000,0
WV,26263,200,90,8295000,20,542000,0
WV,26264,250,160,9140000,0,463000,0
WV,26266,120,70,5016000,0,333000,0
WV,26267,220,130,12427000,0,1163000,0
WV,26269,440,230,19647000,0,1370000,0
WV,26270,320,130,15008000,30,1161000,0
WV,26271,130,60,5848000,0,380000,0
WV,26273,360,230,16248000,0,1151000,0
WV,26276,190,110,9224000,0,672000,0
WV,26278,230,140,10079000,0,564000,0
WV,26280,750,480,31804000,0,2034000,0
WV,26283,680,390,33162000,30,2411000,0
WV,26285,130,90,5470000,0,334000,0
WV,26287,1350,680,61658000,50,4215000,0
WV,26288,1140,720,45224000,0,2891000,0
WV,26291,280,60,8819000,0,639000,0
WV,26292,380,160,14163000,0,885000,0
WV,26293,300,140,13248000,0,907000,0
WV,26294,290,130,11477000,0,720000,0
WV,26301,12350,6710,627014000,90,56968000,3843000
WV,26320,330,140,36710000,30,7200000,0
WV,26321,130,70,6109000,0,403000,0
WV,26330,7670,4180,688827000,90,88358000,7347000
WV,26335,460,290,21362000,0,1406000,0
WV,26337,470,260,22212000,30,1606000,0
WV,26338,270,140,13313000,40,1115000,0
WV,26342,210,100,9997000,30,725000,0
WV,26343,190,150,7390000,0,399000,0
WV,26346,380,200,22690000,20,2149000,0
WV,26347,920,590,53407000,30,4947000,198000
WV,26351,1150,640,61780000,40,8308000,273000
WV,26354,4430,2470,221998000,130,17885000,946000
WV,26362,1260,690,71387000,80,6554000,326000
WV,26372,330,190,21526000,0,2425000,0
WV,26374,650,300,36516000,40,3231000,0
WV,26376,170,100,6497000,0,434000,0
WV,26377,270,130,12692000,0,1001000,0
WV,26378,1940,1050,118875000,80,10813000,514000
WV,26384,180,100,6501000,0,376000,0
WV,26385,1660,920,96405000,80,8523000,459000
WV,26386,980,600,55159000,30,4406000,0
WV,26404,150,110,8039000,0,667000,0
WV,26405,480,300,23124000,70,1562000,0
WV,26408,1320,660,89822000,40,7941000,507000
WV,26410,400,240,17206000,0,1127000,0
WV,26411,260,150,15184000,40,1478000,0
WV,26412,190,110,7650000,0,436000,0
WV,26415,1320,760,81034000,60,9388000,378000
WV,26416,2830,1670,134366000,150,9804000,498000
WV,26419,420,260,24537000,0,2204000,0
WV,26421,100,60,6194000,0,589000,0
WV,26425,410,210,17288000,30,1100000,0
WV,26426,2750,1530,163896000,110,17167000,779000
WV,26430,180,100,8190000,0,598000,0
WV,26431,2610,1540,134952000,40,10327000,493000
WV,26437,160,110,6774000,0,420000,0
WV,26440,520,330,26278000,60,1857000,0
WV,26444,1240,770,54444000,70,3341000,0
WV,26447,470,290,23869000,40,1805000,0
WV,26448,430,310,21938000,0,1620000,0
WV,26451,330,170,17203000,0,1356000,0
WV,26452,4260,2300,218766000,110,19191000,592000
WV,26456,1370,800,81171000,80,8365000,0
WV,26501,8680,3810,521218000,60,53758000,3419000
WV,26505,12320,4100,798419000,30,99265000,6974000
WV,26508,15750,9310,1421431000,100,187422000,16242000
WV,26519,750,420,38069000,40,3174000,0
WV,26521,230,110,15031000,0,1574000,0
WV,26525,2300,1330,146724000,150,13993000,526000
WV,26537,2570,1360,128457000,60,9930000,413000
WV,26541,1620,870,92960000,40,8009000,85000
WV,26542,1110,600,62547000,30,5886000,0
WV,26547,1300,670,69029000,30,5709000,0
WV,26554,18440,9310,1061188000,140,98550000,5556000
WV,26562,260,130,16246000,0,1615000,0
WV,26568,220,130,10377000,0,711000,0
WV,26570,1430,720,81839000,50,7264000,0
WV,26571,870,500,43704000,0,3486000,0
WV,26575,330,200,18455000,0,1602000,0
WV,26581,370,230,20052000,0,1703000,0
WV,26582,2040,1180,97971000,60,7071000,233000
WV,26585,200,100,10209000,0,769000,0
WV,26587,160,80,6258000,0,391000,0
WV,26588,1310,730,66233000,30,5113000,0
WV,26590,290,180,20143000,0,2201000,0
WV,26591,660,360,33184000,0,2752000,0
WV,26601,1580,960,76661000,40,5934000,220000
WV,26610,390,270,15818000,0,933000,0
WV,26619,210,160,9486000,0,689000,0
WV,26621,330,200,16382000,0,1231000,0
WV,26623,520,290,25776000,30,1879000,0
WV,26624,1080,590,52302000,30,4208000,537000
WV,26627,180,100,7707000,0,471000,0
WV,26629,170,100,6503000,0,416000,0
WV,26636,190,140,7239000,0,437000,0
WV,26651,3650,2090,192663000,90,16598000,3056000
WV,26656,140,70,6275000,0,380000,0
WV,26660,130,90,6384000,0,433000,0
WV,26662,390,230,22462000,0,1651000,0
WV,26676,170,90,6660000,0,364000,0
WV,26678,490,290,24083000,0,1660000,0
WV,26679,770,430,39492000,40,3284000,0
WV,26680,130,70,5504000,0,358000,0
WV,26681,640,400,27660000,20,1626000,0
WV,26690,140,100,5917000,0,372000,0
WV,26691,150,100,5346000,0,265000,0
WV,26704,2120,1330,97948000,130,6791000,329000
WV,26705,460,230,19800000,40,1185000,0
WV,26710,860,440,41246000,80,2881000,0
WV,26711,1190,620,67399000,50,5724000,289000
WV,26714,150,90,5896000,0,350000,0
WV,26716,300,110,12772000,50,723000,0
WV,26717,420,250,17743000,30,1063000,0
WV,26719,1280,720,73836000,30,5931000,466000
WV,26722,230,140,10365000,0,672000,0
WV,26726,5780,3140,267775000,130,19856000,1157000
WV,26731,140,90,6426000,0,398000,0
WV,26739,370,170,16359000,20,1197000,0
WV,26743,700,380,38272000,50,3245000,110000
WV,26750,330,200,9726000,0,465000,0
WV,26753,2880,1480,165613000,20,15574000,1137000
WV,26755,280,140,12588000,40,798000,0
WV,26757,2660,1380,120511000,100,9813000,773000
WV,26761,230,150,10038000,0,666000,0
WV,26763,680,420,34854000,20,2751000,0
WV,26764,1820,910,79979000,80,5796000,217000
WV,26767,310,130,15353000,0,1074000,0
WV,26801,560,320,29256000,60,2220000,0
WV,26802,490,230,20881000,50,1384000,0
WV,26804,270,150,9765000,30,594000,0
WV,26807,1280,590,62063000,120,4653000,388000
WV,26808,400,170,17816000,20,1247000,0
WV,26810,150,40,8324000,0,761000,0
WV,26812,710,360,30614000,80,2129000,0
WV,26814,190,60,7295000,30,423000,0
WV,26815,270,160,11020000,50,585000,0
WV,26817,210,110,10388000,0,760000,0
WV,26818,340,290,13336000,30,647000,0
WV,26833,960,550,43552000,110,2920000,0
WV,26836,3140,1820,125154000,100,8610000,635000
WV,26845,390,200,18630000,40,1331000,0
WV,26847,2800,1400,129846000,150,10024000,861000
WV,26851,960,510,45659000,50,3486000,183000
WV,26852,360,200,16042000,50,1150000,0
WV,26855,330,160,13703000,0,827000,0
WV,26865,220,100,13322000,0,1278000,0
WV,26866,350,170,16503000,60,1069000,0
WV,26884,260,130,11498000,50,692000,0
NC,27006,6980,3700,682650000,90,88565000,14594000
NC,27007,910,580,46311000,70,3177000,303000
NC,27009,1360,720,112960000,30,13930000,1713000
NC,27011,2350,1340,116192000,120,8365000,997000
NC,27012,13710,8180,1197130000,80,146799000,18678000
NC,27013,2770,1720,145542000,120,12831000,1738000
NC,27016,700,380,35161000,50,2574000,215000
NC,27017,3540,2400,169557000,140,12661000,904000
NC,27018,3430,1840,191575000,140,16597000,1944000
NC,27019,1780,850,96997000,40,8369000,680000
NC,27020,2640,1630,123690000,210,8706000,1148000
NC,27021,7790,4310,428727000,100,35964000,3801000
NC,27022,590,330,27218000,60,1868000,0
NC,27023,6120,3810,688130000,40,104286000,12408000
NC,27024,980,620,42330000,40,2768000,0
NC,27025,4720,2660,231010000,120,17912000,1409000
NC,27027,1650,870,70013000,20,4735000,221000
NC,27028,11580,7090,624698000,370,55419000,6852000
NC,27030,15170,9170,736750000,290,63691000,6610000
NC,27040,5660,3450,420700000,40,45038000,6878000
NC,27041,3410,1890,196221000,120,17495000,2226000
NC,27042,320,170,15600000,0,1150000,0
NC,27043,2690,1550,150188000,90,12631000,1233000
NC,27045,4490,2690,233036000,30,18094000,2382000
NC,27046,830,470,38086000,40,2634000,0
NC,27047,460,290,23236000,40,1618000,0
NC,27048,3440,2050,172571000,80,13669000,1307000
NC,27050,1800,940,113151000,30,11438000,1563000
NC,27051,3710,2130,182351000,30,13499000,1997000
NC,27052,4380,2370,213841000,130,16507000,1561000
NC,27053,1290,700,63813000,100,4880000,398000
NC,27054,1230,770,56343000,40,4114000,581000
NC,27055,6100,3600,340436000,210,26939000,4406000
NC,27101,8730,4700,504057000,0,59034000,11179000
NC,27103,17520,8760,984595000,30,93981000,12311000
NC,27104,14710,7510,1828991000,40,287437000,65665000
NC,27105,16510,13340,515485000,0,28218000,5396000
NC,27106,21290,13040,1879783000,60,265158000,43705000
NC,27107,20820,15730,964074000,110,72272000,10402000
NC,27127,18120,11220,858507000,30,67791000,9829000
NC,27203,8790,6660,310840000,20,18544000,2057000
NC,27205,14330,8960,797171000,230,70941000,10318000
NC,27207,1520,970,80100000,160,6168000,700000
NC,27208,690,390,35175000,110,2615000,431000
NC,27209,1770,1690,68887000,20,4479000,197000
NC,27212,620,370,30489000,50,2319000,310000
NC,27214,5510,3700,330347000,60,30371000,4882000
NC,27215,20370,11360,1370484000,80,151802000,22638000
NC,27217,16180,12570,647662000,130,42893000,5078000
NC,27229,1700,1550,57819000,30,2757000,0
NC,27231,940,460,56241000,60,5318000,632000
NC,27233,1530,860,88428000,50,7759000,771000
NC,27235,2270,1290,207648000,30,22413000,4813000
NC,27239,3770,2070,197993000,160,17407000,1930000
NC,27242,780,530,32902000,40,2054000,0
